SRX6957431	TFs and others	FOXL2	Gonad	KGN	58957	50/145	147/256	-4.93022	-1.32655	0.600516
SRX1067066	TFs and others	AR	Prostate	LHSAR	135710	51/145	75/256	-0.580276	-0.358852	1.20055
SRX1012628	TFs and others	ESR1	Breast	MCF-7	16157	28/145	38/256	-0.578763	-0.357417	1.30091
SRX7214026	TFs and others	CREBBP	Epidermis	Keratinocytes	3597	28/145	38/256	-0.578763	-0.357417	1.30091
SRX150624	TFs and others	EP300	Liver	Hep G2	3683	21/145	27/256	-0.578109	-0.356956	1.37318
SRX1514281	TFs and others	LYL1	Blood	Kasumi-1	12927	21/145	27/256	-0.578109	-0.356956	1.37318
SRX3931031	TFs and others	FOXA1	Breast	MCF-7	19061	21/145	27/256	-0.578109	-0.356956	1.37318
SRX5346119	TFs and others	MYC	Blood	RAMOS	4707	21/145	27/256	-0.578109	-0.356956	1.37318
SRX8616853	TFs and others	JUNB	Lung	A549	1474	21/145	27/256	-0.578109	-0.356956	1.37318
SRX10338561	TFs and others	MYC	Blood	NALM-6	14304	28/145	63/256	-0.577923	-0.356847	0.784674
SRX702548	TFs and others	CHD8	Pluripotent stem cell	iPS derived neural cells	10229	28/145	63/256	-0.577923	-0.356847	0.784674
SRX1070427	TFs and others	ORC2	Blood	K-562	3225	9/145	25/256	-0.576862	-0.356096	0.635586
SRX150662	TFs and others	RCOR1	Blood	GM12878	2193	9/145	25/256	-0.576862	-0.356096	0.635586
SRX186769	TFs and others	SUZ12	Pluripotent stem cell	hESC H1	1494	9/145	25/256	-0.576862	-0.356096	0.635586
SRX2881138	TFs and others	NANOG	Pluripotent stem cell	hESC H9	12218	9/145	25/256	-0.576862	-0.356096	0.635586
SRX356611	TFs and others	STAG1	Blood	GM18951	20627	9/145	25/256	-0.576862	-0.356096	0.635586
SRX4708042	TFs and others	GTF2F1	Liver	Hep G2	1644	9/145	25/256	-0.576862	-0.356096	0.635586
SRX5683083	TFs and others	ESR1	Uterus	Ishikawa	2095	9/145	25/256	-0.576862	-0.356096	0.635586
SRX702134	TFs and others	THAP11	Pluripotent stem cell	hESC derived mesendodermal cells	1553	9/145	25/256	-0.576862	-0.356096	0.635586
SRX190223	TFs and others	RXRA	Neural	SK-N-SH	10620	41/145	87/256	-0.575798	-0.356064	0.832025
ERX1149079	TFs and others	CTCF	Blood	HEL 92.1.7	26763	11/145	12/256	-0.575635	-0.356064	1.61839
SRX10104970	TFs and others	PPARG	Others	5637	2118	11/145	12/256	-0.575635	-0.356064	1.61839
SRX10119152	TFs and others	CREBBP	Blood	MV-4-11	901	11/145	12/256	-0.575635	-0.356064	1.61839
SRX10484566	TFs and others	RUNX1	Blood	THP-1	4866	11/145	12/256	-0.575635	-0.356064	1.61839
SRX11094587	TFs and others	ERG	Bone	TC-106	12928	11/145	12/256	-0.575635	-0.356064	1.61839
SRX1733713	TFs and others	ESR1	Breast	MCF-7	2567	11/145	12/256	-0.575635	-0.356064	1.61839
SRX1734382	TFs and others	FOXA1	Prostate	22Rv1	11136	11/145	12/256	-0.575635	-0.356064	1.61839
SRX190279	TFs and others	ESR1	Breast	T-47D	4162	11/145	12/256	-0.575635	-0.356064	1.61839
SRX190297	TFs and others	REST	Uterus	ECC-1	7110	11/145	12/256	-0.575635	-0.356064	1.61839
SRX2163140	TFs and others	FOXA1	Others	RT4	12619	11/145	12/256	-0.575635	-0.356064	1.61839
SRX2404127	TFs and others	RELA	Others	Detroit 562	1103	11/145	12/256	-0.575635	-0.356064	1.61839
SRX243765	TFs and others	PAX5	Blood	L-428	2067	11/145	12/256	-0.575635	-0.356064	1.61839
SRX2442516	TFs and others	CTCF	Digestive tract	HCT 116	11283	11/145	12/256	-0.575635	-0.356064	1.61839
SRX3229151	TFs and others	ESR1	Breast	Breast cancer	1383	11/145	12/256	-0.575635	-0.356064	1.61839
SRX360590	TFs and others	MYC	Digestive tract	GP5d	625	11/145	12/256	-0.575635	-0.356064	1.61839
SRX3873716	TFs and others	ELL2	Lung	SW 1271	2185	11/145	12/256	-0.575635	-0.356064	1.61839
SRX4370433	TFs and others	CTCF	Neural	Anterior temporal cortex	2379	11/145	12/256	-0.575635	-0.356064	1.61839
SRX4802348	TFs and others	HIF1A	Kidney	RCC4	1105	11/145	12/256	-0.575635	-0.356064	1.61839
SRX5290912	TFs and others	CTCF	Lung	IMR-90	16557	11/145	12/256	-0.575635	-0.356064	1.61839
SRX5719601	TFs and others	CTCF	Blood	T-ALL	28582	11/145	12/256	-0.575635	-0.356064	1.61839
SRX5801455	TFs and others	STAT3	Blood	Th2 Cells	3517	11/145	12/256	-0.575635	-0.356064	1.61839
SRX7202561	TFs and others	RAD21	Blood	K-562	20225	11/145	12/256	-0.575635	-0.356064	1.61839
SRX747805	TFs and others	ESR1	Breast	MCF-7	7928	11/145	12/256	-0.575635	-0.356064	1.61839
SRX813771	TFs and others	MED1	Adipocyte	SGBS	3968	11/145	12/256	-0.575635	-0.356064	1.61839
SRX8272876	TFs and others	CEBPA	Blood	BLaER1	5474	11/145	12/256	-0.575635	-0.356064	1.61839
SRX8380651	TFs and others	ESR1	Bone	U2OS	4848	11/145	12/256	-0.575635	-0.356064	1.61839
SRX8406527	TFs and others	FOXA1	Prostate	Prostatic Neoplasms, Castration-Resistant	18361	11/145	12/256	-0.575635	-0.356064	1.61839
SRX8550422	TFs and others	FLI1	Bone	A-673	9016	11/145	12/256	-0.575635	-0.356064	1.61839
SRX9599287	TFs and others	REST	Kidney	293	2123	11/145	12/256	-0.575635	-0.356064	1.61839
SRX995497	TFs and others	STAG1	Blood	Hematopoietic Stem Cells	7266	11/145	12/256	-0.575635	-0.356064	1.61839
SRX2194261	TFs and others	BRD4	Breast	SUM 159PT	32249	93/145	179/256	-0.575093	-0.35556	0.91728
SRX8949280	TFs and others	NCOA3	Breast	ZR-75-1	38064	38/145	54/256	-0.574193	-0.3547	1.2424
SRX100419	TFs and others	ESR1	Breast	T-47D	9756	20/145	47/256	-0.573728	-0.354388	0.751284
SRX5930145	TFs and others	MYOD1	Muscle	RH-4	20014	20/145	47/256	-0.573728	-0.354388	0.751284
SRX6913081	TFs and others	BRD4	Blood	K-562	9449	20/145	47/256	-0.573728	-0.354388	0.751284
SRX7719081	TFs and others	SMAD3	Others	H69	11378	20/145	47/256	-0.573728	-0.354388	0.751284
SRX011575	TFs and others	TAF2	Pluripotent stem cell	hESC H1	237	1/145	7/256	-0.572393	-0.353175	0.252217
SRX11084479	TFs and others	STAT3	Pancreas	MIA Paca-2	28	1/145	7/256	-0.572393	-0.353175	0.252217
SRX3931057	TFs and others	GRHL2	Breast	MCF-7	24802	29/145	39/256	-0.572322	-0.353175	1.31282
SRX5323868	TFs and others	STAT3	Breast	MCF-7	3171	29/145	39/256	-0.572322	-0.353175	1.31282
SRX5346117	TFs and others	MYC	Blood	RAMOS	6874	29/145	39/256	-0.572322	-0.353175	1.31282
SRX130608	TFs and others	BCL6	Blood	B cells	16009	42/145	89/256	-0.571748	-0.352716	0.833165
SRX4824370	TFs and others	BRD4	Prostate	22Rv1	15773	42/145	89/256	-0.571748	-0.352716	0.833165
SRX9932042	TFs and others	STAT5A	Breast	MCF-7	2343	42/145	89/256	-0.571748	-0.352716	0.833165
SRX10828251	TFs and others	AR	Digestive tract	HGC-27	3206	16/145	19/256	-0.570258	-0.351533	1.48675
SRX1510444	TFs and others	SOX9	Prostate	VCaP	1163	16/145	19/256	-0.570258	-0.351533	1.48675
SRX199880	TFs and others	CTCF	Digestive tract	HCT 116	34248	16/145	19/256	-0.570258	-0.351533	1.48675
SRX3186359	TFs and others	Epitope tags	Lung	HCC95	2289	16/145	19/256	-0.570258	-0.351533	1.48675
SRX3437420	TFs and others	CTCF	Uterus	HeLa	38435	16/145	19/256	-0.570258	-0.351533	1.48675
SRX518680	TFs and others	SPI1	Blood	NCI-H929	10313	16/145	19/256	-0.570258	-0.351533	1.48675
SRX5486443	TFs and others	ZIC2	Digestive tract	HCT 116	3307	16/145	19/256	-0.570258	-0.351533	1.48675
SRX6614733	TFs and others	CTCF	Lung	IMR-90	34779	16/145	19/256	-0.570258	-0.351533	1.48675
SRX3230406	TFs and others	USF2	Liver	Hep G2	19198	53/145	79/256	-0.569947	-0.351404	1.18446
SRX100466	TFs and others	ESR1	Uterus	ECC-1	1592	14/145	35/256	-0.569936	-0.351404	0.706207
SRX150521	TFs and others	IKZF1	Blood	GM12878	7172	14/145	35/256	-0.569936	-0.351404	0.706207
SRX790969	TFs and others	NFKB1	Blood	L-1236	11026	14/145	35/256	-0.569936	-0.351404	0.706207
SRX8570842	TFs and others	HAP1	Blood	KBM-7	26302	14/145	35/256	-0.569936	-0.351404	0.706207
SRX150545	TFs and others	MYC	Blood	K-562	5759	29/145	65/256	-0.569456	-0.350962	0.787692
SRX150447	TFs and others	TFAP2A	Uterus	HeLa	10885	52/145	78/256	-0.569412	-0.350956	1.17701
SRX12129503	TFs and others	BRD4	Blood	T cells	7619	29/145	64/256	-0.568367	-0.349989	0.8
SRX150703	TFs and others	RAD21	Lung	IMR-90	35345	29/145	64/256	-0.568367	-0.349989	0.8
SRX1801655	TFs and others	CTCF	Digestive tract	COLO 829	39788	22/145	28/256	-0.567801	-0.349575	1.38719
SRX212439	TFs and others	ETS1	Blood	Treg	3295	22/145	28/256	-0.567801	-0.349575	1.38719
SRX4374907	TFs and others	CTCF	Breast	MB 157	31751	22/145	28/256	-0.567801	-0.349575	1.38719
SRX4611742	TFs and others	ESR1	Breast	MCF-7	47567	22/145	28/256	-0.567801	-0.349575	1.38719
SRX1892836	TFs and others	ELF1	Digestive tract	SNU-1750	10095	43/145	91/256	-0.567692	-0.349504	0.834255
SRX716555	TFs and others	YAP1	Neural	SF268	16370	43/145	90/256	-0.565694	-0.347985	0.843525
SRX1389379	TFs and others	FOXA1	Pancreas	CFPAC-1	20081	29/145	40/256	-0.563334	-0.347985	1.28
SRX174820	TFs and others	FOXA1	Lung	NCI-H3122	18499	29/145	40/256	-0.563334	-0.347985	1.28
SRX190233	TFs and others	CEBPD	Liver	Hep G2	5908	29/145	40/256	-0.563334	-0.347985	1.28
SRX2881001	TFs and others	ESR1	Breast	MCF-7	16798	29/145	40/256	-0.563334	-0.347985	1.28
SRX014750	TFs and others	PML	Blood	NB-4	265	7/145	7/256	-0.563037	-0.347985	1.76552
SRX092416	TFs and others	CTCF	Blood	Lymphoma, B-Cell	8578	7/145	7/256	-0.563037	-0.347985	1.76552
SRX101134	TFs and others	AR	Prostate	VCaP	9149	7/145	7/256	-0.563037	-0.347985	1.76552
SRX10151291	TFs and others	KMT2D	Pluripotent stem cell	iPS derived neural cells	5630	7/145	7/256	-0.563037	-0.347985	1.76552
SRX10158161	TFs and others	BRD4	Blood	KBM-7	5430	7/145	7/256	-0.563037	-0.347985	1.76552
SRX10365520	TFs and others	ESR1	Breast	MDA-MB-231	435	7/145	7/256	-0.563037	-0.347985	1.76552
SRX10365521	TFs and others	ESR1	Breast	MDA-MB-231	418	7/145	7/256	-0.563037	-0.347985	1.76552
SRX1052320	TFs and others	Epitope tags	Blood	K-562	901	7/145	7/256	-0.563037	-0.347985	1.76552
SRX10881852	TFs and others	ARID1A	Kidney	G-401	941	7/145	7/256	-0.563037	-0.347985	1.76552
SRX1515018	TFs and others	GFP	Kidney	293	334	7/145	7/256	-0.563037	-0.347985	1.76552
SRX1640091	TFs and others	AR	Prostate	LNCAP	3356	7/145	7/256	-0.563037	-0.347985	1.76552
SRX1711634	TFs and others	Epitope tags	Uterus	HeLa	1342	7/145	7/256	-0.563037	-0.347985	1.76552
SRX1885171	TFs and others	RELA	Prostate	LNCAP	2772	7/145	7/256	-0.563037	-0.347985	1.76552
SRX194574	TFs and others	GREB1	Breast	MCF-7	466	7/145	7/256	-0.563037	-0.347985	1.76552
SRX2067988	TFs and others	ETS2	Prostate	DU 145	363	7/145	7/256	-0.563037	-0.347985	1.76552
SRX2267445	TFs and others	BRD4	Lung	A549	292	7/145	7/256	-0.563037	-0.347985	1.76552
SRX2321776	TFs and others	NKX2-5	Pluripotent stem cell	ES cells	2554	7/145	7/256	-0.563037	-0.347985	1.76552
SRX2368898	TFs and others	FOXA2	Epidermis	BJ	5002	7/145	7/256	-0.563037	-0.347985	1.76552
SRX2545051	TFs and others	FOXA1	Prostate	LNCAP	33841	7/145	7/256	-0.563037	-0.347985	1.76552
SRX2578874	TFs and others	ESR1	Breast	MDA-MB-231	93	7/145	7/256	-0.563037	-0.347985	1.76552
SRX2844313	TFs and others	TEAD4	Pluripotent stem cell	hESC H1	1425	7/145	7/256	-0.563037	-0.347985	1.76552
SRX3288561	TFs and others	CTCF	Pluripotent stem cell	hESC H9	2276	7/145	7/256	-0.563037	-0.347985	1.76552
SRX3288571	TFs and others	POU5F1	Pluripotent stem cell	hESC H9	4030	7/145	7/256	-0.563037	-0.347985	1.76552
SRX3460919	TFs and others	CHD4	Blood	Pre-B cells	479	7/145	7/256	-0.563037	-0.347985	1.76552
SRX359938	TFs and others	ID1	Digestive tract	LoVo	104	7/145	7/256	-0.563037	-0.347985	1.76552
SRX359948	TFs and others	NR1D1	Digestive tract	LoVo	91	7/145	7/256	-0.563037	-0.347985	1.76552
SRX367311	TFs and others	JMJD6	Kidney	293	3197	7/145	7/256	-0.563037	-0.347985	1.76552
SRX3800731	TFs and others	RAD21	Breast	T-47D	5427	7/145	7/256	-0.563037	-0.347985	1.76552
SRX471847	TFs and others	AR	Prostate	VCaP	6413	7/145	7/256	-0.563037	-0.347985	1.76552
SRX4783036	TFs and others	AR	Prostate	Prostate cancer cells	2241	7/145	7/256	-0.563037	-0.347985	1.76552
SRX4783058	TFs and others	AR	Prostate	Prostate cancer cells	5954	7/145	7/256	-0.563037	-0.347985	1.76552
SRX4783096	TFs and others	AR	Prostate	Prostate cancer cells	5085	7/145	7/256	-0.563037	-0.347985	1.76552
SRX4928877	TFs and others	BRD9	Uterus	HeLa	356	7/145	7/256	-0.563037	-0.347985	1.76552
SRX5077402	TFs and others	CEBPB	Liver	Hep G2	778	7/145	7/256	-0.563037	-0.347985	1.76552
SRX5089559	TFs and others	BRD4	Breast	MCF-7	3502	7/145	7/256	-0.563037	-0.347985	1.76552
SRX5169135	TFs and others	GATA1	Blood	Erythroid progenitors	3777	7/145	7/256	-0.563037	-0.347985	1.76552
SRX5202660	TFs and others	IRF2BP2	Kidney	293	523	7/145	7/256	-0.563037	-0.347985	1.76552
SRX5289987	TFs and others	NR3C1	Lung	BEAS-2B	647	7/145	7/256	-0.563037	-0.347985	1.76552
SRX5491530	TFs and others	XPO1	Blood	K-562	92	7/145	7/256	-0.563037	-0.347985	1.76552
SRX5759193	TFs and others	SUZ12	Neural	ipNF05.5	290	7/145	7/256	-0.563037	-0.347985	1.76552
SRX5759194	TFs and others	SUZ12	Neural	ipNF05.5	313	7/145	7/256	-0.563037	-0.347985	1.76552
SRX5803017	TFs and others	POLR3C	Kidney	293	1876	7/145	7/256	-0.563037	-0.347985	1.76552
SRX5824551	TFs and others	BRD7	Breast	SUM 159PT	2554	7/145	7/256	-0.563037	-0.347985	1.76552
SRX5824581	TFs and others	BRD4	Breast	SUM 159PT	4161	7/145	7/256	-0.563037	-0.347985	1.76552
SRX5824597	TFs and others	BRD4	Breast	SUM 159PT	1929	7/145	7/256	-0.563037	-0.347985	1.76552
SRX6384789	TFs and others	RAD21	Digestive tract	HCT 116	5929	7/145	7/256	-0.563037	-0.347985	1.76552
SRX6435429	TFs and others	PPP1R10	Kidney	293	302	7/145	7/256	-0.563037	-0.347985	1.76552
SRX6913063	TFs and others	BRD4	Blood	THP-1	243	7/145	7/256	-0.563037	-0.347985	1.76552
SRX6973252	TFs and others	GFP	Pluripotent stem cell	ES cells	365	7/145	7/256	-0.563037	-0.347985	1.76552
SRX700519	TFs and others	BRD4	Epidermis	Dermal fibroblast	497	7/145	7/256	-0.563037	-0.347985	1.76552
SRX702086	TFs and others	SMAD1	Pluripotent stem cell	hESC HUES64	528	7/145	7/256	-0.563037	-0.347985	1.76552
SRX7202551	TFs and others	RAD21	Uterus	HEC-1-B	10855	7/145	7/256	-0.563037	-0.347985	1.76552
SRX7512716	TFs and others	AR	Prostate	VCaP	56565	7/145	7/256	-0.563037	-0.347985	1.76552
SRX7551103	TFs and others	MRE11A	Uterus	HeLa	453	7/145	7/256	-0.563037	-0.347985	1.76552
SRX7551107	TFs and others	SETD1A	Uterus	HeLa	470	7/145	7/256	-0.563037	-0.347985	1.76552
SRX790968	TFs and others	RELB	Blood	L-1236	2087	7/145	7/256	-0.563037	-0.347985	1.76552
SRX7972452	TFs and others	MKL1	Epidermis	MKL-1	773	7/145	7/256	-0.563037	-0.347985	1.76552
SRX8257423	TFs and others	MITF	Epidermis	A-375	1469	7/145	7/256	-0.563037	-0.347985	1.76552
SRX8376360	TFs and others	FOXA1	Pluripotent stem cell	hESC derived pancreatic cells	6880	7/145	7/256	-0.563037	-0.347985	1.76552
SRX8406302	TFs and others	HOXB13	Prostate	Prostate	16087	7/145	7/256	-0.563037	-0.347985	1.76552
SRX8406449	TFs and others	AR	Prostate	Prostate	4287	7/145	7/256	-0.563037	-0.347985	1.76552
SRX8406502	TFs and others	FOXA1	Prostate	Prostate	1594	7/145	7/256	-0.563037	-0.347985	1.76552
SRX8406523	TFs and others	FOXA1	Prostate	Prostatic Neoplasms, Castration-Resistant	5215	7/145	7/256	-0.563037	-0.347985	1.76552
SRX8406543	TFs and others	HOXB13	Prostate	Prostate	3590	7/145	7/256	-0.563037	-0.347985	1.76552
SRX8406544	TFs and others	HOXB13	Prostate	Prostate	3951	7/145	7/256	-0.563037	-0.347985	1.76552
SRX8510436	TFs and others	ATF4	Pancreas	L3.6	1300	7/145	7/256	-0.563037	-0.347985	1.76552
SRX852985	TFs and others	RUNX1	Breast	MCF-7	261	7/145	7/256	-0.563037	-0.347985	1.76552
SRX8664952	TFs and others	ATF4	Blood	HUDEP-2	831	7/145	7/256	-0.563037	-0.347985	1.76552
SRX8713992	TFs and others	SUZ12	Neural	Neural Stem Cells	648	7/145	7/256	-0.563037	-0.347985	1.76552
SRX873804	TFs and others	DNMT3A	Epidermis	Epidermal stem cells	697	7/145	7/256	-0.563037	-0.347985	1.76552
SRX9071231	TFs and others	BRD4	Blood	SEM	1582	7/145	7/256	-0.563037	-0.347985	1.76552
SRX9135101	TFs and others	AR	Prostate	VCaP	39394	7/145	7/256	-0.563037	-0.347985	1.76552
SRX9178852	TFs and others	HAP1	Blood	HAP1	3235	7/145	7/256	-0.563037	-0.347985	1.76552
SRX9562901	TFs and others	DPF2	Muscle	RH-4	1019	7/145	7/256	-0.563037	-0.347985	1.76552
SRX9598416	TFs and others	SUPT6H	Bone	U2OS	815	7/145	7/256	-0.563037	-0.347985	1.76552
SRX968909	TFs and others	SOX2	Pluripotent stem cell	iPS derived neural cells	981	7/145	7/256	-0.563037	-0.347985	1.76552
SRX9755056	TFs and others	BRD4	Blood	REH	552	7/145	7/256	-0.563037	-0.347985	1.76552
SRX1799531	TFs and others	TRIM28	Blood	CD4+ T cells	19462	44/145	92/256	-0.562743	-0.34773	0.844378
SRX003938	TFs and others	ESR1	Breast	MCF-7	6677	3/145	12/256	-0.562429	-0.347682	0.441379
SRX2013091	TFs and others	MYCN	Blood	CD34 Hematopoietic stem cells	493	3/145	12/256	-0.562429	-0.347682	0.441379
SRX2013092	TFs and others	MYCN	Blood	CD34 Hematopoietic stem cells	507	3/145	12/256	-0.562429	-0.347682	0.441379
SRX3124419	TFs and others	CTCF	Neural	KELLY	21680	3/145	12/256	-0.562429	-0.347682	0.441379
SRX4096864	TFs and others	GATAD2A	Breast	HCC3153	397	3/145	12/256	-0.562429	-0.347682	0.441379
SRX4115986	TFs and others	FOXA1	Prostate	LNCAP	27937	3/145	12/256	-0.562429	-0.347682	0.441379
SRX8406424	TFs and others	AR	Prostate	Prostate	11126	3/145	12/256	-0.562429	-0.347682	0.441379
SRX7054613	TFs and others	RELA	Cardiovascular	HAEC	5165	21/145	49/256	-0.561802	-0.347094	0.75665
SRX190335	TFs and others	SIX5	Lung	A549	4434	30/145	66/256	-0.561475	-0.346843	0.802508
SRX3345953	TFs and others	INTS13	Blood	HL-60	8299	30/145	66/256	-0.561475	-0.346843	0.802508
SRX4712348	TFs and others	LDB1	Blood	Macrophages	3456	40/145	57/256	-0.561215	-0.346622	1.23896
SRX6473439	TFs and others	Epitope tags	Pluripotent stem cell	hESC derived neural crests	36458	55/145	83/256	-0.559769	-0.345233	1.16992
SRX186646	TFs and others	PHF8	Blood	K-562	24555	45/145	94/256	-0.55975	-0.345233	0.845194
SRX4367192	TFs and others	ESR1	Breast	MCF-7	54219	56/145	84/256	-0.559566	-0.345163	1.17701
SRX8949796	TFs and others	ASCL1	Prostate	NCI-H660	31713	56/145	84/256	-0.559566	-0.345163	1.17701
SRX8037088	TFs and others	BRD4	Lung	HARA	24967	89/145	172/256	-0.559566	-0.345163	0.913553
SRX4824368	TFs and others	BRD4	Prostate	22Rv1	20220	46/145	96/256	-0.556721	-0.342356	0.845977
SRX103224	TFs and others	SPI1	Blood	THP-1	13687	22/145	29/256	-0.556068	-0.34193	1.33936
SRX1787651	TFs and others	FOXA1	Breast	MCF-7	20426	22/145	29/256	-0.556068	-0.34193	1.33936
SRX1787676	TFs and others	KMT2C	Breast	MCF-7	7926	22/145	29/256	-0.556068	-0.34193	1.33936
SRX3056625	TFs and others	CTCF	Blood	Erythroblasts	26083	22/145	29/256	-0.556068	-0.34193	1.33936
SRX356483	TFs and others	CTCF	Blood	Lymphoblastoid cell line	43198	22/145	29/256	-0.556068	-0.34193	1.33936
SRX4792902	TFs and others	CTCF	Breast	T-47D	23935	22/145	29/256	-0.556068	-0.34193	1.33936
SRX3857005	TFs and others	CDKN1B	Breast	MDA-MB-231	35232	114/145	188/256	-0.554705	-0.340606	1.07058
SRX080144	TFs and others	MYC	Liver	Hep G2	1180	6/145	18/256	-0.553101	-0.339534	0.588506
SRX150712	TFs and others	SMARCA4	Blood	K-562	964	6/145	18/256	-0.553101	-0.339534	0.588506
SRX1637466	TFs and others	BRD4	Blood	MOLT-4	1414	6/145	18/256	-0.553101	-0.339534	0.588506
SRX1709975	TFs and others	PGR	Breast	T-47D	552	6/145	18/256	-0.553101	-0.339534	0.588506
SRX1813527	TFs and others	MLLT1	Blood	MV-4-11	770	6/145	18/256	-0.553101	-0.339534	0.588506
SRX3703148	TFs and others	MEF2B	Blood	DLBCL	1269	6/145	18/256	-0.553101	-0.339534	0.588506
SRX378021	TFs and others	KSHV LANA	Uterus	TIVE-LTC	436	6/145	18/256	-0.553101	-0.339534	0.588506
SRX4003761	TFs and others	ESRRG	Pluripotent stem cell	hESC derived cardiac cells	652	6/145	18/256	-0.553101	-0.339534	0.588506
SRX5242454	TFs and others	MED1	Blood	MOLM-14	1151	6/145	18/256	-0.553101	-0.339534	0.588506
SRX6435391	TFs and others	SUPT5H	Kidney	293	630	6/145	18/256	-0.553101	-0.339534	0.588506
SRX747775	TFs and others	ESR1	Breast	MCF-7	353	6/145	18/256	-0.553101	-0.339534	0.588506
SRX7695548	TFs and others	TEAD4	Lung	NCI-H209	1602	6/145	18/256	-0.553101	-0.339534	0.588506
SRX8468848	TFs and others	IRF4	Blood	B cells	3468	6/145	18/256	-0.553101	-0.339534	0.588506
SRX9258682	TFs and others	CPSF3L	Kidney	293	625	6/145	18/256	-0.553101	-0.339534	0.588506
SRX1880279	TFs and others	MYC	Blood	Jurkat	2143	15/145	37/256	-0.552596	-0.339142	0.71575
SRX2007815	TFs and others	MEN1	Breast	MCF-7	2578	15/145	37/256	-0.552596	-0.339142	0.71575
SRX245740	TFs and others	MYC	Uterus	HeLa	1984	15/145	37/256	-0.552596	-0.339142	0.71575
SRX6384755	TFs and others	MED26	Digestive tract	HCT 116	19104	87/145	168/256	-0.551436	-0.338117	0.914286
SRX026643	TFs and others	ERG	Blood	Acute myeloid leukemia	1861	16/145	20/256	-0.550963	-0.338117	1.41241
SRX080400	TFs and others	CTCF	Kidney	HRE	28645	16/145	20/256	-0.550963	-0.338117	1.41241
SRX11668227	TFs and others	CUX1	Blood	K-562	13336	16/145	20/256	-0.550963	-0.338117	1.41241
SRX150375	TFs and others	CEBPB	Pluripotent stem cell	hESC H1	11994	16/145	20/256	-0.550963	-0.338117	1.41241
SRX150442	TFs and others	ZKSCAN1	Uterus	HeLa	2062	16/145	20/256	-0.550963	-0.338117	1.41241
SRX150448	TFs and others	YY1	Blood	K-562	3632	16/145	20/256	-0.550963	-0.338117	1.41241
SRX2881003	TFs and others	ESR1	Breast	MCF-7	8256	16/145	20/256	-0.550963	-0.338117	1.41241
SRX3110733	TFs and others	ESR1	Breast	MCF-7	50316	16/145	20/256	-0.550963	-0.338117	1.41241
SRX334258	TFs and others	E2F1	Unclassified	Unclassified	1213	16/145	20/256	-0.550963	-0.338117	1.41241
SRX3437422	TFs and others	CTCF	Uterus	HeLa	37762	16/145	20/256	-0.550963	-0.338117	1.41241
SRX3482874	TFs and others	RAD21	Pluripotent stem cell	hESC HUES64	46421	16/145	20/256	-0.550963	-0.338117	1.41241
SRX356629	TFs and others	CTCF	Blood	GM19193	32380	16/145	20/256	-0.550963	-0.338117	1.41241
SRX4611715	TFs and others	ESR1	Breast	MCF-7	33259	16/145	20/256	-0.550963	-0.338117	1.41241
SRX5089414	TFs and others	SMARCA4	Breast	MCF-7	3609	16/145	20/256	-0.550963	-0.338117	1.41241
SRX5089531	TFs and others	ARID2	Breast	MCF-7	5817	16/145	20/256	-0.550963	-0.338117	1.41241
SRX10119388	TFs and others	YAP1	Breast	MDA-MB-231	16604	48/145	100/256	-0.550563	-0.337755	0.847448
SRX10881805	TFs and others	PBRM1	Others	BT-16	5206	22/145	51/256	-0.5504	-0.33768	0.761596
SRX10030479	TFs and others	AR	Prostate	LNCAP	455	6/145	19/256	-0.549895	-0.33768	0.557532
SRX10151298	TFs and others	XRCC1	Pluripotent stem cell	iPS derived neural cells	978	6/145	19/256	-0.549895	-0.33768	0.557532
SRX11070611	TFs and others	GFP	Digestive tract	Colorectal adenocarcinoma	713	6/145	19/256	-0.549895	-0.33768	0.557532
SRX130267	TFs and others	TET3	Kidney	293	349	6/145	19/256	-0.549895	-0.33768	0.557532
SRX173202	TFs and others	AR	Prostate	VCaP	62341	6/145	19/256	-0.549895	-0.33768	0.557532
SRX2940755	TFs and others	TP53	Digestive tract	HCT 116	458	6/145	19/256	-0.549895	-0.33768	0.557532
SRX2940757	TFs and others	TP53	Epidermis	UACC-257	400	6/145	19/256	-0.549895	-0.33768	0.557532
SRX3644358	TFs and others	FOXA2	Epidermis	BJ	4645	6/145	19/256	-0.549895	-0.33768	0.557532
SRX4096887	TFs and others	TRPS1	Breast	HCC3153	895	6/145	19/256	-0.549895	-0.33768	0.557532
SRX475789	TFs and others	EP300	Blood	GM12878	499	6/145	19/256	-0.549895	-0.33768	0.557532
SRX747780	TFs and others	ESR1	Breast	MCF-7	406	6/145	19/256	-0.549895	-0.33768	0.557532
SRX9258681	TFs and others	CPSF3L	Kidney	293	581	6/145	19/256	-0.549895	-0.33768	0.557532
SRX2881137	TFs and others	NANOG	Pluripotent stem cell	hESC H9	21132	10/145	27/256	-0.549731	-0.33768	0.653895
SRX4001907	TFs and others	RAD21	Blood	THP-1	22044	10/145	27/256	-0.549731	-0.33768	0.653895
SRX425253	TFs and others	BRD4	Cardiovascular	HUVEC	1693	10/145	27/256	-0.549731	-0.33768	0.653895
SRX4824365	TFs and others	AR	Prostate	22Rv1	13588	10/145	27/256	-0.549731	-0.33768	0.653895
SRX6977276	TFs and others	LIN28B	Neural	KELLY	1072	10/145	27/256	-0.549731	-0.33768	0.653895
