SRX2207918	TFs and others	ATF3	Epidermis	CS1AN	30101	290/344	189/299	-9.03666	-4.91946	1.33367
SRX7135407	TFs and others	TP63	Blood	K-562	4427	20/344	12/299	-0.438611	-0.052747	1.44864
SRX7897936	TFs and others	CTCF	Blood	K-562	3149	20/344	12/299	-0.438611	-0.052747	1.44864
SRX7972456	TFs and others	MKL2	Epidermis	MKL-2	15748	20/344	12/299	-0.438611	-0.052747	1.44864
SRX099231	TFs and others	GATA1	Blood	PBMC	5696	22/344	25/299	-0.438031	-0.052747	0.764884
SRX10119380	TFs and others	STAT3	Breast	MCF 10A	5508	22/344	25/299	-0.438031	-0.052747	0.764884
SRX11196940	TFs and others	TAF1	Kidney	293	1724	22/344	25/299	-0.438031	-0.052747	0.764884
SRX471205	TFs and others	AR	Prostate	C4-2	17776	22/344	25/299	-0.438031	-0.052747	0.764884
SRX6699761	TFs and others	Epitope tags	Liver	Hep G2	16739	22/344	25/299	-0.438031	-0.052747	0.764884
SRX190210	TFs and others	REST	Blood	HL-60	9597	70/344	52/299	-0.4377	-0.052747	1.17006
SRX6665793	TFs and others	Epitope tags	Kidney	HK-2	5470	70/344	52/299	-0.4377	-0.052747	1.17006
SRX1403231	TFs and others	JMJD6	Others	Tumor	2159	13/344	7/299	-0.437423	-0.052747	1.6142
SRX150727	TFs and others	NRF1	Liver	Hep G2	1196	13/344	7/299	-0.437423	-0.052747	1.6142
SRX1521305	TFs and others	ZMYND8	Breast	ZR-75-30	2013	13/344	7/299	-0.437423	-0.052747	1.6142
SRX1733713	TFs and others	ESR1	Breast	MCF-7	2567	13/344	7/299	-0.437423	-0.052747	1.6142
SRX2683597	TFs and others	Epitope tags	Kidney	293	931	13/344	7/299	-0.437423	-0.052747	1.6142
SRX3102571	TFs and others	RELA	Digestive tract	SW 480	3952	13/344	7/299	-0.437423	-0.052747	1.6142
SRX3927298	TFs and others	GLTSCR1	Blood	MOLM-13	2143	13/344	7/299	-0.437423	-0.052747	1.6142
SRX5287687	TFs and others	TEAD4	Breast	MCF-7	2595	13/344	7/299	-0.437423	-0.052747	1.6142
SRX5771376	TFs and others	SUPT6H	Digestive tract	HCT 116	935	13/344	7/299	-0.437423	-0.052747	1.6142
SRX7677761	TFs and others	DCP2	Digestive tract	DLD-1	2031	13/344	7/299	-0.437423	-0.052747	1.6142
SRX8299814	TFs and others	CTR9	Bone	U2OS	839	13/344	7/299	-0.437423	-0.052747	1.6142
SRX150459	TFs and others	RAD21	Pluripotent stem cell	hESC H1	51012	117/344	112/299	-0.437317	-0.052747	0.907989
SRX188947	TFs and others	CTCF	Blood	GM10266	32995	117/344	112/299	-0.437317	-0.052747	0.907989
SRX037936	TFs and others	CTCF	Blood	CD36+	21185	83/344	82/299	-0.436785	-0.0523755	0.879786
SRX150447	TFs and others	TFAP2A	Uterus	HeLa	10885	83/344	82/299	-0.436785	-0.0523755	0.879786
SRX3931097	TFs and others	GRHL2	Breast	MCF-7	15107	61/344	62/299	-0.436487	-0.0521579	0.855167
SRX1030324	TFs and others	CTCF	Blood	Jurkat	42245	119/344	114/299	-0.436045	-0.0518762	0.907308
SRX9550863	TFs and others	FOXA1	Prostate	Prostate cancer	61591	119/344	114/299	-0.436045	-0.0518762	0.907308
SRX3124393	TFs and others	CTCF	Neural	KELLY	38410	120/344	115/299	-0.435336	-0.0513286	0.906977
SRX3124407	TFs and others	CTCF	Neural	KELLY	36302	120/344	115/299	-0.435336	-0.0513286	0.906977
SRX1819616	TFs and others	ZMYND8	Prostate	DU 145	5993	45/344	47/299	-0.434968	-0.0512015	0.832199
SRX2442515	TFs and others	CTCF	Blood	K-562	12328	45/344	47/299	-0.434968	-0.0512015	0.832199
SRX9556503	TFs and others	GATA3	Breast	MDA-MB-231	17166	45/344	47/299	-0.434968	-0.0512015	0.832199
DRX013190	TFs and others	CTCF	Kidney	293	34395	84/344	83/299	-0.434789	-0.0511822	0.879658
SRX3931057	TFs and others	GRHL2	Breast	MCF-7	24802	84/344	83/299	-0.434789	-0.0511822	0.879658
SRX4712348	TFs and others	LDB1	Blood	Macrophages	3456	29/344	19/299	-0.434372	-0.0508454	1.32665
SRX4172745	TFs and others	GATA1	Digestive tract	HCT 116	12333	122/344	117/299	-0.433775	-0.0503285	0.906331
SRX356750	TFs and others	CTCF	Blood	Lymphoblastoid cell line	33830	123/344	118/299	-0.432925	-0.0502002	0.906016
SRX699738	TFs and others	JUND	Cardiovascular	HCASMC	57413	85/344	84/299	-0.432756	-0.0502002	0.879533
SRX3288563	TFs and others	ZNF143	Pluripotent stem cell	hESC H9	4621	54/344	39/299	-0.432359	-0.0502002	1.20349
SRX1134763	TFs and others	BRD4	Blood	MV-4-11	11085	136/344	107/299	-0.43203	-0.0502002	1.10476
SRX1272808	TFs and others	BRD4	Digestive tract	COLO 741	8894	136/344	107/299	-0.43203	-0.0502002	1.10476
SRX9029197	TFs and others	SPI1	Blood	Neutrophils	20003	136/344	107/299	-0.43203	-0.0502002	1.10476
DRX059614	TFs and others	KMT2B	Blood	HB1119	3873	40/344	28/299	-0.430863	-0.0502002	1.24169
SRX181189	TFs and others	MYC	Lung	A549	33947	40/344	28/299	-0.430863	-0.0502002	1.24169
SRX6780891	TFs and others	CREB1	Pluripotent stem cell	iPS derived neural cells	2291	40/344	28/299	-0.430863	-0.0502002	1.24169
SRX5574509	TFs and others	SPI1	Blood	TALL-1	58010	135/344	107/299	-0.430807	-0.0502002	1.09664
SRX6854833	TFs and others	Epitope tags	Epidermis	501A	75048	86/344	85/299	-0.430689	-0.0502002	0.879412
SRX097096	TFs and others	CEBPA	Blood	U-937	15908	46/344	48/299	-0.430399	-0.0502002	0.83297
SRX10212070	TFs and others	CEBPB	Blood	CD4+ T cells	12022	46/344	48/299	-0.430399	-0.0502002	0.83297
SRX448946	TFs and others	BRD4	Blood	KOPT-K1	5381	46/344	48/299	-0.430399	-0.0502002	0.83297
SRX7944499	TFs and others	ESR1	Uterus	Ishikawa	8520	46/344	48/299	-0.430399	-0.0502002	0.83297
SRX7944505	TFs and others	ESR1	Uterus	Ishikawa	7806	46/344	48/299	-0.430399	-0.0502002	0.83297
SRX8376367	TFs and others	ONECUT1	Pluripotent stem cell	hESC derived pancreatic cells	20455	46/344	48/299	-0.430399	-0.0502002	0.83297
SRX150503	TFs and others	YY1	Pluripotent stem cell	NT2-D1	3839	33/344	36/299	-0.430128	-0.0502002	0.796754
SRX3394534	TFs and others	FLI1	Bone	A-673	12648	33/344	36/299	-0.430128	-0.0502002	0.796754
SRX5702620	TFs and others	ESR1	Breast	T-47D	12682	33/344	36/299	-0.430128	-0.0502002	0.796754
SRX6957484	TFs and others	FOXL2	Kidney	HGrC1	12935	33/344	36/299	-0.430128	-0.0502002	0.796754
SRX8080564	TFs and others	Epitope tags	Breast	Mammary gland adenocarcinoma	11329	33/344	36/299	-0.430128	-0.0502002	0.796754
SRX8670128	TFs and others	ASCL1	Neural	SH-SY5Y	76812	219/344	180/299	-0.430037	-0.0502002	1.05751
SRX2017929	TFs and others	FOXA1	Prostate	LNCAP	97177	125/344	119/299	-0.430037	-0.0502002	0.913011
SRX4001914	TFs and others	RAD21	Blood	THP-1	25769	63/344	64/299	-0.42999	-0.0502002	0.855605
SRX5286329	TFs and others	NANOG	Pluripotent stem cell	hESC WIBR2	24457	96/344	74/299	-0.429832	-0.0502002	1.12759
SRX356768	TFs and others	CTCF	Blood	Lymphoblastoid cell line	34885	126/344	120/299	-0.429599	-0.0502002	0.912645
SRX188952	TFs and others	CTCF	Breast	MCF-7	58937	216/344	177/299	-0.428578	-0.0502002	1.0607
SRX1998403	TFs and others	EZH2	Muscle	Rhabdomyosarcoma	2401	23/344	26/299	-0.428362	-0.0502002	0.768895
SRX6913039	TFs and others	BRD2	Blood	THP-1	1984	23/344	26/299	-0.428362	-0.0502002	0.768895
SRX968963	TFs and others	ESR1	Breast	MCF-7	16188	23/344	26/299	-0.428362	-0.0502002	0.768895
SRX100388	TFs and others	GABPA	Liver	Hep G2	11161	140/344	111/299	-0.428011	-0.0502002	1.09627
SRX1044412	TFs and others	JUN	Breast	MDA-MB-231	6797	15/344	18/299	-0.427431	-0.0502002	0.724322
SRX190196	TFs and others	MBD4	Liver	Hep G2	4294	15/344	18/299	-0.427431	-0.0502002	0.724322
SRX2323890	TFs and others	KMT2A	Kidney	293	1209	15/344	18/299	-0.427431	-0.0502002	0.724322
SRX235030	TFs and others	IKZF1	Blood	NALM-6	3721	15/344	18/299	-0.427431	-0.0502002	0.724322
SRX4108915	TFs and others	AR	Prostate	LNCAP	15751	15/344	18/299	-0.427431	-0.0502002	0.724322
SRX4404420	TFs and others	MYCN	Prostate	22Rv1	1785	15/344	18/299	-0.427431	-0.0502002	0.724322
SRX4677298	TFs and others	FOXA2	Pancreas	CFPAC-1	7938	15/344	18/299	-0.427431	-0.0502002	0.724322
SRX5839976	TFs and others	CREBBP	Blood	Macrophages	4518	15/344	18/299	-0.427431	-0.0502002	0.724322
SRX673718	TFs and others	Biotin	Breast	MCF-7	3454	15/344	18/299	-0.427431	-0.0502002	0.724322
SRX716559	TFs and others	TEAD1	Neural	SF268	15126	15/344	18/299	-0.427431	-0.0502002	0.724322
SRX9779520	TFs and others	HDAC2	Lung	NCI-H1963	2913	15/344	18/299	-0.427431	-0.0502002	0.724322
SRX317571	TFs and others	JARID2	Pluripotent stem cell	iPS cells	4546	55/344	40/299	-0.426855	-0.0502002	1.19513
SRX9730741	TFs and others	BRD4	Blood	THP-1	22108	213/344	174/299	-0.426697	-0.0502002	1.064
SRX080344	TFs and others	CTCF	Cardiovascular	HPAF	41939	131/344	125/299	-0.426697	-0.0502002	0.910907
SRX6175589	TFs and others	CTCF	Bone	A-673	41917	131/344	125/299	-0.426697	-0.0502002	0.910907
SRX2652441	TFs and others	ZBTB48	Uterus	HeLa	4895	47/344	49/299	-0.425865	-0.0502002	0.833709
DRX156349	TFs and others	MGMT	Neural	U-87 MG	812	9/344	12/299	-0.423904	-0.0502002	0.65189
ERX626852	TFs and others	CEBPA	Blood	U-937	2667	9/344	12/299	-0.423904	-0.0502002	0.65189
SRX10365542	TFs and others	RAC1	Breast	MCF-7	7411	9/344	12/299	-0.423904	-0.0502002	0.65189
SRX109484	TFs and others	ATF3	Neural	GBM1-HAM	5425	9/344	12/299	-0.423904	-0.0502002	0.65189
SRX150471	TFs and others	ATF3	Blood	K-562	819	9/344	12/299	-0.423904	-0.0502002	0.65189
SRX150655	TFs and others	BACH1	Blood	K-562	2528	9/344	12/299	-0.423904	-0.0502002	0.65189
SRX1629238	TFs and others	AR	Prostate	VCaP	5525	9/344	12/299	-0.423904	-0.0502002	0.65189
SRX2323895	TFs and others	KMT2A	Kidney	293	981	9/344	12/299	-0.423904	-0.0502002	0.65189
SRX2382330	TFs and others	EBF3	Neural	SK-N-SH	6679	9/344	12/299	-0.423904	-0.0502002	0.65189
SRX2452432	TFs and others	ETS1	Cardiovascular	HUVEC	806	9/344	12/299	-0.423904	-0.0502002	0.65189
SRX306517	TFs and others	AR	Prostate	DU 145	5606	9/344	12/299	-0.423904	-0.0502002	0.65189
SRX3110716	TFs and others	ESR1	Breast	MCF-7	3869	9/344	12/299	-0.423904	-0.0502002	0.65189
SRX4411662	TFs and others	AR	Prostate	LNCAP	6641	9/344	12/299	-0.423904	-0.0502002	0.65189
SRX5183151	TFs and others	BACH1	Pancreas	AsPC-1	4100	9/344	12/299	-0.423904	-0.0502002	0.65189
SRX6473453	TFs and others	Epitope tags	Pluripotent stem cell	hESC derived neural crests	524	9/344	12/299	-0.423904	-0.0502002	0.65189
SRX7371434	TFs and others	TP53	Pluripotent stem cell	hESC derived endodermal cells	3206	9/344	12/299	-0.423904	-0.0502002	0.65189
SRX8336463	TFs and others	GATA4	Pluripotent stem cell	hESC derived pancreatic cells	4276	9/344	12/299	-0.423904	-0.0502002	0.65189
SRX8616979	TFs and others	ESR1	Breast	ZR-75-1	4880	9/344	12/299	-0.423904	-0.0502002	0.65189
SRX100485	TFs and others	REST	Blood	K-562	14570	75/344	56/299	-0.423464	-0.0502002	1.16409
SRX2378771	TFs and others	NELFE	Bone	U2OS	1931	30/344	20/299	-0.423158	-0.0502002	1.30378
SRX4417022	TFs and others	ESR1	Breast	MCF-7	9799	30/344	20/299	-0.423158	-0.0502002	1.30378
SRX264460	TFs and others	BRD4	Blood	MM.1S	9940	65/344	65/299	-0.423123	-0.0502002	0.869186
SRX3591438	TFs and others	BRD4	Blood	B-CLL cells	11462	137/344	130/299	-0.422892	-0.0502002	0.915988
SRX070884	TFs and others	RBPJ	Blood	CUTLL1	3185	41/344	29/299	-0.422781	-0.0502002	1.22885
SRX4473692	TFs and others	SMARCC1	Gonad	BIN-67	3346	41/344	29/299	-0.422781	-0.0502002	1.22885
SRX5974528	TFs and others	CTCF	Blood	K-562	11213	41/344	29/299	-0.422781	-0.0502002	1.22885
SRX1514278	TFs and others	RUNX1T1	Blood	Kasumi-1	10606	101/344	78/299	-0.422111	-0.0502002	1.12548
SRX100549	TFs and others	ZBTB33	Blood	K-562	1929	21/344	13/299	-0.421714	-0.0502002	1.40407
SRX475777	TFs and others	REST	Blood	GM12878	4351	21/344	13/299	-0.421714	-0.0502002	1.40407
SRX5089499	TFs and others	HDAC1	Breast	MCF-7	1001	21/344	13/299	-0.421714	-0.0502002	1.40407
SRX6913065	TFs and others	BRD4	Blood	THP-1	1717	21/344	13/299	-0.421714	-0.0502002	1.40407
SRX702133	TFs and others	THAP11	Pluripotent stem cell	hESC derived ectodermal cells	1035	21/344	13/299	-0.421714	-0.0502002	1.40407
SRX356438	TFs and others	CTCF	Blood	GM10847	30506	91/344	89/299	-0.421515	-0.0502002	0.888718
SRX4001908	TFs and others	RAD21	Blood	THP-1	21284	48/344	50/299	-0.421369	-0.0502002	0.834419
SRX5089379	TFs and others	ARID1A	Breast	MCF-7	19409	48/344	50/299	-0.421369	-0.0502002	0.834419
SRX003940	TFs and others	ESR1	Breast	MCF-7	2087	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX017701	TFs and others	KAT8	Blood	CD4+ T cells	386	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX055346	TFs and others	CBX3	Digestive tract	HCT 116	534	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX065548	TFs and others	ELK4	Kidney	293	434	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX065557	TFs and others	Epitope tags	Bone	U2OS	338	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX1012678	TFs and others	ESR1	Breast	MCF-7	957	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX10365556	TFs and others	ESR1	Breast	MCF-7	2478	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX1094489	TFs and others	EP300	Others	TC-797	819	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX1531794	TFs and others	MED1	Breast	MCF-7	1009	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX155757	TFs and others	HSF1	Lung	NCI-H838	659	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX176055	TFs and others	AR	Prostate	LNCAP	2069	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX1813527	TFs and others	MLLT1	Blood	MV-4-11	770	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX2420134	TFs and others	AR	Prostate	LNCAP	3064	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX2633442	TFs and others	AR	Prostate	R1-AD1	2208	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX2652444	TFs and others	ZBTB48	Bone	U2OS	1796	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX3103112	TFs and others	SIRT6	Epidermis	L-C-B	591	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX3240994	TFs and others	MED1	Others	Mesenchymal stem cells	1233	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX3285591	TFs and others	KDM5B	Breast	FULR	448	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX3366974	TFs and others	AR	Prostate	LNCAP	1508	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX3366984	TFs and others	AR	Prostate	LNCAP	3757	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX3422334	TFs and others	INSR	Liver	Hep G2	1394	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX3468010	TFs and others	SMARCA4	Others	Aska	686	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX367336	TFs and others	JMJD6	Uterus	HeLa	1082	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX392293	TFs and others	PRKCQ	Breast	MCF-7	556	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX3946917	TFs and others	MED1	Others	Mesenchymal stem cells	1246	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX4119730	TFs and others	Epitope tags	Kidney	293	354	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX4345365	TFs and others	NFKB1	Blood	CD4+ T cells	803	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX4708078	TFs and others	TAF15	Blood	K-562	232	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX4737855	TFs and others	BAP1	Pancreas	PANC-1	511	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX4802346	TFs and others	HIF1A	Kidney	HKC8	759	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX4931268	TFs and others	KMT2A	Kidney	293	319	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX5286347	TFs and others	TFAP2C	Pluripotent stem cell	ES cells	1236	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX5299359	TFs and others	PHC1	Kidney	293	277	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX5409711	TFs and others	NETO2	Blood	U-937	1142	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX5501661	TFs and others	CDK9	Epidermis	A-375	591	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX5514036	TFs and others	MED12	Uterus	Myometrium	503	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX647367	TFs and others	ESR1	Breast	MCF 10A	424	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX6902861	TFs and others	GATA1	Blood	CD34+	819	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX7015660	TFs and others	RNF2	Muscle	SYO-1	395	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX702005	TFs and others	GATA6	Pluripotent stem cell	hESC derived mesendodermal cells	983	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX718421	TFs and others	SOX10	Epidermis	501A	1262	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX7732851	TFs and others	TCEB3	Digestive tract	DLD-1	367	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX8044293	TFs and others	AR	Others	UM-UC-3	899	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX8299804	TFs and others	CDC73	Bone	U2OS	457	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX8299859	TFs and others	CTR9	Bone	U2OS	526	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX8699646	TFs and others	INTS5	Digestive tract	DLD-1	661	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX8726294	TFs and others	BMI1	Others	Tumor	542	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX9258685	TFs and others	INTS3	Kidney	293	842	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX9281792	TFs and others	SUZ12	Kidney	293	193	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX9281794	TFs and others	SUZ12	Kidney	293	254	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX9628492	TFs and others	JUN	Gonad	SCCOHT-1	509	4/344	1/299	-0.421139	-0.0502002	3.47674
SRX3091912	TFs and others	ZFX	Digestive tract	HCT 116	9176	150/344	120/299	-0.420759	-0.0502002	1.08648
SRX3591437	TFs and others	BRD4	Blood	B-CLL cells	11356	153/344	122/299	-0.420752	-0.0502002	1.09004
SRX100429	TFs and others	SPI1	Blood	K-562	24448	102/344	79/299	-0.419897	-0.0502002	1.12224
SRX8037074	TFs and others	KLF5	Digestive tract	NCI-H508	8889	102/344	79/299	-0.419897	-0.0502002	1.12224
SRX019498	TFs and others	CTCF	Adipocyte	Adipose stromal cell	31271	92/344	90/299	-0.419866	-0.0502002	0.888501
SRX1873455	TFs and others	PAF1	Blood	SEM	2618	24/344	27/299	-0.419088	-0.0502002	0.77261
SRX6800705	TFs and others	IRF4	Blood	CAR-T cells	9152	24/344	27/299	-0.419088	-0.0502002	0.77261
SRX8670124	TFs and others	ASCL1	Neural	SH-SY5Y	68252	198/344	161/299	-0.418816	-0.0502002	1.06894
SRX356501	TFs and others	CTCF	Blood	GM12891	44832	146/344	138/299	-0.418816	-0.0502002	0.919574
SRX4377124	TFs and others	CTCF	Pluripotent stem cell	ES cells	33097	93/344	91/299	-0.418179	-0.0502002	0.888289
SRX5848165	TFs and others	CTCF	Blood	K-562	33540	93/344	91/299	-0.418179	-0.0502002	0.888289
SRX4001910	TFs and others	RAD21	Blood	THP-1	24732	67/344	67/299	-0.418092	-0.0502002	0.869186
SRX6175631	TFs and others	SMC1A	Bone	TC-71	28751	67/344	67/299	-0.418092	-0.0502002	0.869186
SRX8570947	TFs and others	HAP1	Blood	KBM-7	29427	67/344	67/299	-0.418092	-0.0502002	0.869186
SRX4001818	TFs and others	SPI1	Blood	Macrophages	63875	160/344	128/299	-0.418042	-0.0502002	1.08648
SRX035160	TFs and others	BCL6	Blood	JURL-MK1	5384	77/344	58/299	-0.416926	-0.0502002	1.15392
SRX5323866	TFs and others	STAT3	Breast	MCF-7	8649	58/344	42/299	-0.416912	-0.0502002	1.2003
SRX9513901	TFs and others	FOXA1	Prostate	LNCAP	23613	58/344	42/299	-0.416912	-0.0502002	1.2003
SRX5574449	TFs and others	SPI1	Blood	CTV-1	94595	196/344	160/299	-0.416856	-0.0502002	1.06475
SRX2913027	TFs and others	FLI1	Bone	A-673	7349	35/344	37/299	-0.416315	-0.0502002	0.822203
SRX6854826	TFs and others	Epitope tags	Epidermis	501A	22096	35/344	37/299	-0.416315	-0.0502002	0.822203
SRX8406480	TFs and others	AR	Prostate	Prostatic Neoplasms, Castration-Resistant	23918	35/344	37/299	-0.416315	-0.0502002	0.822203
DRX300417	TFs and others	MEAF6	Kidney	293	11185	167/344	134/299	-0.416231	-0.0502002	1.08324
SRX7677729	TFs and others	SUPT5H	Digestive tract	DLD-1	9732	167/344	134/299	-0.416231	-0.0502002	1.08324
SRX5577145	TFs and others	Epitope tags	Prostate	LNCAP	54295	68/344	68/299	-0.415534	-0.0502002	0.869186
SRX5323902	TFs and others	STAT3	Breast	T-47D	29955	160/344	150/299	-0.415333	-0.0502002	0.927132
SRX150574	TFs and others	TBP	Blood	K-562	15813	170/344	137/299	-0.41529	-0.0502002	1.07855
SRX356668	TFs and others	CTCF	Blood	GM19239	47666	174/344	162/299	-0.41529	-0.0502002	0.93357
SRX10484574	TFs and others	KMT2A	Blood	RS4-11	21023	187/344	152/299	-0.415063	-0.0502002	1.06933
SRX6913057	TFs and others	BRD2	Blood	THP-1	12236	177/344	143/299	-0.414887	-0.0502002	1.07585
SRX1510969	TFs and others	ZNF143	Breast	MCF-7	21913	188/344	153/299	-0.414883	-0.0502002	1.06802
SRX8673479	TFs and others	CTCF	Bone	HT-1080	58425	188/344	153/299	-0.414883	-0.0502002	1.06802
SRX6175630	TFs and others	RAD21	Bone	TC-71	38343	95/344	92/299	-0.413995	-0.0502002	0.897529
DRX013210	TFs and others	CTCF	Breast	MCF-7	8198	16/344	19/299	-0.413773	-0.0502002	0.731946
DRX234808	TFs and others	KAT7	Kidney	293	1700	16/344	19/299	-0.413773	-0.0502002	0.731946
SRX3091905	TFs and others	ZNF711	Breast	MCF-7	1603	16/344	19/299	-0.413773	-0.0502002	0.731946
SRX3581504	TFs and others	CHD7	Pluripotent stem cell	iPS cells	11338	16/344	19/299	-0.413773	-0.0502002	0.731946
SRX4213899	TFs and others	YAP1	Breast	MCF 10A	4785	16/344	19/299	-0.413773	-0.0502002	0.731946
SRX5124864	TFs and others	FOXA1	Prostate	22Rv1	15002	16/344	19/299	-0.413773	-0.0502002	0.731946
SRX5887610	TFs and others	TEAD4	Lung	PC-9	7118	16/344	19/299	-0.413773	-0.0502002	0.731946
SRX6413749	TFs and others	ESR1	Breast	MCF-7	8653	16/344	19/299	-0.413773	-0.0502002	0.731946
SRX8406545	TFs and others	HOXB13	Prostate	Prostate	8834	16/344	19/299	-0.413773	-0.0502002	0.731946
SRX476480	TFs and others	CTCF	Blood	THP-1	20808	69/344	69/299	-0.412952	-0.0502002	0.869186
ERX989300	TFs and others	CTCF	Blood	K-562	27990	96/344	93/299	-0.412797	-0.0502002	0.897224
SRX1514934	TFs and others	GFP	Kidney	293	16042	96/344	93/299	-0.412797	-0.0502002	0.897224
SRX2194266	TFs and others	EP300	Breast	SUM 159PT	40733	96/344	93/299	-0.412797	-0.0502002	0.897224
SRX8707935	TFs and others	CTCF	Epidermis	Keratinocytes	30816	96/344	93/299	-0.412797	-0.0502002	0.897224
SRX150365	TFs and others	RELA	Blood	GM12892	4794	31/344	21/299	-0.412541	-0.0502002	1.28308
SRX5702624	TFs and others	ESR1	Breast	Breast cancer cells	10400	59/344	43/299	-0.412498	-0.0502002	1.1926
SRX8018228	TFs and others	CPSF3	Kidney	293	3897	59/344	43/299	-0.412498	-0.0502002	1.1926
SRX8673363	TFs and others	RUNX1T1	Blood	Kasumi-1	6840	59/344	43/299	-0.412498	-0.0502002	1.1926
SRX9550894	TFs and others	FOXA1	Prostate	Prostate cancer	32421	59/344	43/299	-0.412498	-0.0502002	1.1926
SRX3931033	TFs and others	FOXA1	Breast	MCF-7	23888	50/344	51/299	-0.412213	-0.0502002	0.852143
SRX8570922	TFs and others	HAP1	Blood	KBM-7	35554	97/344	94/299	-0.411555	-0.0502002	0.896926
SRX023649	TFs and others	GATAD1	Uterus	HeLa	3058	36/344	38/299	-0.410977	-0.0502002	0.823439
SRX1629255	TFs and others	ERG	Prostate	VCaP	3039	36/344	38/299	-0.410977	-0.0502002	0.823439
SRX1873449	TFs and others	BRD4	Blood	SEM	4477	36/344	38/299	-0.410977	-0.0502002	0.823439
SRX716555	TFs and others	YAP1	Neural	SF268	16370	36/344	38/299	-0.410977	-0.0502002	0.823439
SRX7262406	TFs and others	FOXA1	Others	Bladder cancer	11986	36/344	38/299	-0.410977	-0.0502002	0.823439
SRX100381	TFs and others	TCF12	Liver	Hep G2	2828	14/344	8/299	-0.410396	-0.0502002	1.52108
SRX100941	TFs and others	TCF7L2	Uterus	HeLa	1457	14/344	8/299	-0.410396	-0.0502002	1.52108
SRX118011	TFs and others	TBL1Y	Kidney	293	1361	14/344	8/299	-0.410396	-0.0502002	1.52108
SRX1515037	TFs and others	GFP	Kidney	293	10865	14/344	8/299	-0.410396	-0.0502002	1.52108
SRX235031	TFs and others	HDAC1	Blood	NALM-6	1800	14/344	8/299	-0.410396	-0.0502002	1.52108
SRX392796	TFs and others	REST	Blood	Jurkat	3645	14/344	8/299	-0.410396	-0.0502002	1.52108
SRX392803	TFs and others	REST	Blood	Jurkat	3589	14/344	8/299	-0.410396	-0.0502002	1.52108
SRX573038	TFs and others	ELL2	Uterus	HeLa	1256	14/344	8/299	-0.410396	-0.0502002	1.52108
SRX6367585	TFs and others	SUMO2	Kidney	293	1592	14/344	8/299	-0.410396	-0.0502002	1.52108
SRX038504	TFs and others	CTCF	Blood	GM12878	22327	70/344	70/299	-0.410348	-0.0502002	0.869186
SRX1961163	TFs and others	FOXA1	Breast	T-47D	26852	70/344	70/299	-0.410348	-0.0502002	0.869186
SRX4819697	TFs and others	CTCF	Prostate	DU 145	24072	70/344	70/299	-0.410348	-0.0502002	0.869186
